date_prod,"('gas_monthly', 'mean')","('gas_monthly', '2.5%')","('gas_monthly', '97.5%')","('oil_monthly', 'mean')","('oil_monthly', '2.5%')","('oil_monthly', '97.5%')"
2024-09-01,1157466215.649906,1139847071.7541351,1179910746.3450348,214667066.65268022,211520485.84962502,217599194.36601526
2024-10-01,1164301622.8255944,1146642991.744336,1184698346.03273,212080952.04473984,208692153.65055007,214765496.92975348
2024-11-01,1153624875.1959815,1136425743.4188354,1173554437.4005492,207597655.68119645,204541508.61190873,209780826.08574677
